;P_EL;P_OTHER;Q_EL;Q_OTHER;lP_E;lP_O;lQ_E;lQ_O;hdd_extr;lhdd_x;Ls74;I74;Ls06;I06;I75;I1986;I1978;I:1968;I:1974;I:1967;S1:1973;S1:1974;S1:1977;I:1981;PE_b;PO_b;PEO_TX;lPE_b;lPO_b;lPEO_TX;I2000;Ls86;Ls00;tr67;Dlh;Ls78;I1975;Ls09;I2009;Ls80;I1980;Tr80;I1994;Ls94;DLs74;DLs78;Dlhdd_x;Ls73;Ls79;DLs73;DLs79;VlQ_E;VlQ_O;VlP_E;VlP_O;pdif;dumm1986;Ls73c;Ls79c;dumm1986c;Ls09c;DlP_O;e_pr_cap;Le_pr_cap;LP_Ea;DLP_Ea;DlP_E;DLe_pr_cap;lPet
1976;7.68179E-05;0.000116649;73.27090754;286.3970579;-9.474073504;-9.056342604;4.294163634;5.657379162;3799.94;8.242740556;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5.2125;0.865083072;0.031033814;1.651059587;-0.14492974;-3.472677897;0;0;0;0;0.118533658;0;0;0;0;0;0;0;0;0;0;0;0.118533658;1;0;0;0;-0.013692442;0.00316948;-0.065563327;-0.00376954;0.4177309;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.019149748;3745.561839;8.228326908;-0.013405927;-0.264778516;-0.156003078;0.081268201;-2.871604523
1977;7.2505E-05;0.000112666;78.26276658;291.6147439;-9.53185445;-9.091084969;4.360071967;5.675433561;3663.99;8.206307997;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4.058122206;0.871645712;0.040280946;1.400720356;-0.137372231;-3.211876724;0;0;0;0;-0.03643256;0;0;0;0;0;0;0;0;0;0;0;-0.03643256;1;0;0;0;0.05799651;0.010435173;-0.116862435;0.012873888;0.440769481;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.034742365;3830.10381;8.250647186;-0.032717661;-0.019311733;-0.057780946;0.022320278;-2.86625656
1978;7.18805E-05;0.000100049;94.17085051;286.6185865;-9.540505118;-9.209855353;4.545110691;5.658152365;3756.24;8.231173736;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3.612114772;0.842698067;0.056799662;1.28429341;-0.17114655;-2.868224904;0;0;0;0;0.02486574;1;0;0;0;0;0;0;0;0;0;1;0.02486574;1;0;0;0;0;0;1.77636E-15;-3.55271E-15;0.330649764;0;0.137254902;-0.745098039;-0.607843137;-0.156862745;-0.118770385;3894.637761;8.267355953;-0.036859577;-0.004141916;-0.008650668;0.016708767;-2.887910764
1979;8.04003E-05;0.000131155;88.99995988;283.2099401;-9.428493069;-8.939132377;4.488635919;5.64618846;4028.1;8.30105008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.310606061;0.875735627;0.051035312;1.197131273;-0.132691029;-2.975237488;0;0;0;0;0.069876344;1;0;0;0;0;0;0;0;0;0;0;0.069876344;1;1;0;1;-0.003299479;0.033560227;-0.024235893;-0.014647086;0.489360692;0;0.137254902;0.254901961;-0.607843137;-0.156862745;0.270722976;4020.036542;8.299046272;0.062674351;0.099533928;0.112012049;0.031690319;-2.717209281
1980;9.66368E-05;0.000177831;79.19041958;267.1265949;-9.244551098;-8.634676054;4.371855327;5.587722684;3825.95;8.249562081;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.668220668;0.890406587;0.039453113;1.299706713;-0.116077081;-3.232642324;0;0;0;0;-0.051487998;1;0;0;0;1;1;1;0;0;0;0;-0.051487998;1;1;0;0;-0.073107823;0.017615084;0.103154057;0.061211393;0.609875044;0;0.137254902;0.254901961;-0.607843137;-0.156862745;0.304456324;3735.144086;8.225541674;0.192418873;0.129744521;0.183941971;-0.073504598;-2.451309617
1981;9.34422E-05;0.000196013;90.8305426;272.6347255;-9.278167473;-8.537327524;4.508995601;5.608132897;3805.25;8.244136971;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4.313578395;0.888182877;0.032643566;1.461767814;-0.118577615;-3.422107516;0;0;0;0;-0.00542511;1;0;0;0;1;0;-1;0;0;0;0;-0.00542511;1;1;0;0;0;-1.77636E-15;0;-1.77636E-15;0.740839949;0;0.137254902;0.254901961;-0.607843137;-0.156862745;0.09734853;3381.43445;8.126055292;0.079735161;-0.112683712;-0.033616375;-0.099486382;-2.232099669
1982;0.000106545;0.00020147;81.04045744;247.9716967;-9.146941127;-8.50986838;4.394948505;5.513314613;3612.22;8.192077821;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.935007386;0.874036597;0.031018052;1.596354169;-0.134633031;-3.473185926;0;0;0;0;-0.05205915;1;0;0;0;1;0;0;0;0;0;0;-0.05205915;1;1;0;0;-0.003152172;-0.017359008;0.097076472;-0.072152623;0.637072746;0;0.137254902;0.254901961;-0.607843137;-0.156862745;0.027459144;3422.374805;8.138089977;0.20711532;0.127380159;0.131226346;0.012034685;-2.265221809
1983;9.37567E-05;0.00020065;80.7993977;225.5637079;-9.274807137;-8.513950584;4.391969511;5.418602638;3495.54;8.159243149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.198653199;0.884523752;0.034843614;1.434763807;-0.122705913;-3.356885391;0;0;0;0;-0.032834672;1;0;0;0;1;0;0;0;0;0;0;-0.032834672;1;1;0;0;0.045060394;-0.029302727;-0.031720716;-0.060254974;0.760856553;0;0.137254902;0.254901961;-0.607843137;-0.156862745;-0.004082204;3233.1601;8.081215297;0.018408485;-0.188706835;-0.127866011;-0.056874679;-2.353674674
1984;7.91243E-05;0.000206624;79.01140313;219.2312714;-9.444490328;-8.48460978;4.369592185;5.390127206;3600.9;8.188939093;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.738756614;0.90767207;0.032612212;1.3187531;-0.096872122;-3.42306845;0;0;0;0;0.029695944;1;0;0;0;1;0;0;0;0;0;0;0.029695944;1;1;0;0;0.035304095;0.00766597;-0.129283126;0.119457706;0.959880548;0;0.137254902;0.254901961;-0.607843137;-0.156862745;0.029340805;3353.461203;8.117748286;-0.122533929;-0.140942414;-0.16968319;0.036532989;-2.390736535
1985;8.76345E-05;0.000200799;70.87066756;217.3254456;-9.342336162;-8.513205996;4.260856632;5.381395979;4079.64;8.313764028;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.086493679;0.902273062;0.030691007;1.407687311;-0.102838075;-3.483785595;0;0;0;0;0.124824935;1;0;0;0;1;0;0;0;0;0;0;0.124824935;1;1;0;0;-0.049136073;0.014090539;0.051011098;0.154611495;0.829130166;0;0.137254902;0.254901961;-0.607843137;-0.156862745;-0.028596216;3774.101134;8.235917523;0.02281937;0.145353299;0.102154165;0.118169237;-2.456114032
