"","respondent_ID","EE_highest","invest_EE","EE_combi_washdryer","EE_washingmachine","EE_dryer","EE_dishwasher","EE_combifridge_freezer","EE_fridge_integrated_freezer","EE_fridge_no_integrated_freezer","EE_chestfreezer","EE_standingfreezer","postnummer","income","age","know_el","house_type","house_type.1","house_size","year_built","persons0.5","persons6.10","persons11.15","persons16.18","persons18.30","persons31.50","persons51.65","persons65","geoms","job_index_resp","job_index_spouse","qty_inhabitants","light_score","EE_index"
"A11","A11",1,1,NA,NA,NA,NA,"A++",NA,NA,NA,NA,2500,2,"3",1,1,"apt",1,3,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,0,0.285714285714286
"A12","A12",0,1,NA,NA,NA,NA,"A+",NA,NA,NA,NA,6100,4,"4",0,1,"apt",2,4,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,0,1,0.6,0.125
"A13","A13",0,0,NA,NA,NA,"A",NA,NA,NA,NA,NA,9000,2,"1",0,1,"apt",2,NA,0,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,2,1,0.4
"A14","A14",0,1,"A","A+",NA,NA,NA,"A",NA,NA,NA,9000,3,"4",0,1,"apt",2,5,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,1,0.444444444444444,0.357142857142857
"A16","A16",0,0,NA,NA,NA,"A",NA,NA,NA,NA,NA,1721,3,"2",1,1,"apt",2,4,1,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,2,0.888888888888889,0.3
"A17","A17",1,1,NA,"A++",NA,NA,"A++",NA,NA,NA,NA,9400,6,"4",1,1,"apt",2,3,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,1,0.9375,0.153846153846154
"A18","A18",0,0,NA,"A","A",NA,NA,"A",NA,"B",NA,2700,3,"2",1,1,"apt",2,NA,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,0,1,0.5,0.642857142857143
"A19","A19",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,2,"1",0,1,"apt",2,NA,0,0,0,0,1,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,1,0.125,0.375
"A20","A20",0,0,NA,NA,NA,NA,"No_label","No_label",NA,NA,NA,2100,7,"4",1,1,"apt",2,2,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,0,1,1,0.333333333333333
"A21","A21",0,1,NA,NA,NA,"A+","A+",NA,"A+",NA,NA,4000,3,"5",1,1,"apt",2,2,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.558198,55.661114,0.0 12.558863,55.664798,0.0 12.532452,55.663712,0.0 12.529944,55.66753,0.0 12.53205,55.668093,0.0 12.55682,55.674614,0.0 12.555453,55.683832,0.0 12.558041,55.681998,0.0 12.578166,55.670644,0.0 12.570128,55.665748,0.0 12.566221,55.661568,0.0 12.564579,55.660465,0.0 12.558198,55.661114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,1,0.769230769230769
