"","respondent_ID","EE_highest","invest_EE","EE_combi_washdryer","EE_washingmachine","EE_dryer","EE_dishwasher","EE_combifridge_freezer","EE_fridge_integrated_freezer","EE_fridge_no_integrated_freezer","EE_chestfreezer","EE_standingfreezer","postnummer","income","age","know_el","house_type","house_type.1","house_size","year_built","persons0.5","persons6.10","persons11.15","persons16.18","persons18.30","persons31.50","persons51.65","persons65","geoms","job_index_resp","job_index_spouse","qty_inhabitants","light_score","EE_index"
"A383","A383",0,0,NA,NA,NA,NA,"A",NA,NA,NA,NA,8800,4,"4",1,1,"apt",7,6,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.238468,55.876949,0.0 12.247435,55.88863,0.0 12.234641,55.88793,0.0 12.234607,55.900887,0.0 12.227319,55.908065,0.0 12.221405,55.908524,0.0 12.218883,55.90352,0.0 12.202305,55.903131,0.0 12.18467,55.924685,0.0 12.192137,55.931425,0.0 12.209026,55.930822,0.0 12.20767,55.944972,0.0 12.17378,55.95287,0.0 12.175885,55.964882,0.0 12.170297,55.968493,0.0 12.197499,55.972374,0.0 12.205228,55.978384,0.0 12.218432,55.980262,0.0 12.226952,55.992314,0.0 12.249399,55.988534,0.0 12.266659,55.991016,0.0 12.271898,55.987525,0.0 12.287484,55.996251,0.0 12.33394,55.964526,0.0 12.339071,55.966051,0.0 12.333853,55.957509,0.0 12.320542,55.951729,0.0 12.346042,55.948979,0.0 12.366987,55.940396,0.0 12.374926,55.927936,0.0 12.398745,55.919852,0.0 12.395784,55.910922,0.0 12.360874,55.892177,0.0 12.34831,55.899963,0.0 12.338245,55.90007,0.0 12.340061,55.888727,0.0 12.330896,55.890953,0.0 12.324299,55.880507,0.0 12.320838,55.885917,0.0 12.315601,55.880653,0.0 12.30193,55.886329,0.0 12.29329,55.882371,0.0 12.274816,55.88233,0.0 12.274125,55.882597,0.0 12.238468,55.876949,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,1,0.785714285714286
"A384","A384",0,0,NA,NA,NA,NA,"A",NA,NA,NA,NA,8270,4,"3",0,1,"apt",7,4,0,0,2,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.238468,55.876949,0.0 12.247435,55.88863,0.0 12.234641,55.88793,0.0 12.234607,55.900887,0.0 12.227319,55.908065,0.0 12.221405,55.908524,0.0 12.218883,55.90352,0.0 12.202305,55.903131,0.0 12.18467,55.924685,0.0 12.192137,55.931425,0.0 12.209026,55.930822,0.0 12.20767,55.944972,0.0 12.17378,55.95287,0.0 12.175885,55.964882,0.0 12.170297,55.968493,0.0 12.197499,55.972374,0.0 12.205228,55.978384,0.0 12.218432,55.980262,0.0 12.226952,55.992314,0.0 12.249399,55.988534,0.0 12.266659,55.991016,0.0 12.271898,55.987525,0.0 12.287484,55.996251,0.0 12.33394,55.964526,0.0 12.339071,55.966051,0.0 12.333853,55.957509,0.0 12.320542,55.951729,0.0 12.346042,55.948979,0.0 12.366987,55.940396,0.0 12.374926,55.927936,0.0 12.398745,55.919852,0.0 12.395784,55.910922,0.0 12.360874,55.892177,0.0 12.34831,55.899963,0.0 12.338245,55.90007,0.0 12.340061,55.888727,0.0 12.330896,55.890953,0.0 12.324299,55.880507,0.0 12.320838,55.885917,0.0 12.315601,55.880653,0.0 12.30193,55.886329,0.0 12.29329,55.882371,0.0 12.274816,55.88233,0.0 12.274125,55.882597,0.0 12.238468,55.876949,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,3,0.888888888888889,0.142857142857143
"A385","A385",0,1,NA,NA,NA,"A","A+",NA,NA,NA,NA,8920,2,"4",1,1,"apt",7,3,0,0,0,0,0,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.238468,55.876949,0.0 12.247435,55.88863,0.0 12.234641,55.88793,0.0 12.234607,55.900887,0.0 12.227319,55.908065,0.0 12.221405,55.908524,0.0 12.218883,55.90352,0.0 12.202305,55.903131,0.0 12.18467,55.924685,0.0 12.192137,55.931425,0.0 12.209026,55.930822,0.0 12.20767,55.944972,0.0 12.17378,55.95287,0.0 12.175885,55.964882,0.0 12.170297,55.968493,0.0 12.197499,55.972374,0.0 12.205228,55.978384,0.0 12.218432,55.980262,0.0 12.226952,55.992314,0.0 12.249399,55.988534,0.0 12.266659,55.991016,0.0 12.271898,55.987525,0.0 12.287484,55.996251,0.0 12.33394,55.964526,0.0 12.339071,55.966051,0.0 12.333853,55.957509,0.0 12.320542,55.951729,0.0 12.346042,55.948979,0.0 12.366987,55.940396,0.0 12.374926,55.927936,0.0 12.398745,55.919852,0.0 12.395784,55.910922,0.0 12.360874,55.892177,0.0 12.34831,55.899963,0.0 12.338245,55.90007,0.0 12.340061,55.888727,0.0 12.330896,55.890953,0.0 12.324299,55.880507,0.0 12.320838,55.885917,0.0 12.315601,55.880653,0.0 12.30193,55.886329,0.0 12.29329,55.882371,0.0 12.274816,55.88233,0.0 12.274125,55.882597,0.0 12.238468,55.876949,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,0,1,1,0.363636363636364
"A386","A386",0,1,NA,NA,NA,NA,"A+",NA,NA,NA,NA,9000,2,"1",0,1,"apt",7,3,0,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.332488,55.840376,0.0 12.313311,55.842479,0.0 12.322213,55.846233,0.0 12.319643,55.852717,0.0 12.306799,55.853963,0.0 12.309425,55.861262,0.0 12.291569,55.858554,0.0 12.281712,55.862489,0.0 12.274816,55.88233,0.0 12.29329,55.882371,0.0 12.30193,55.886329,0.0 12.315601,55.880653,0.0 12.320838,55.885917,0.0 12.324299,55.880507,0.0 12.330896,55.890953,0.0 12.340061,55.888727,0.0 12.338245,55.90007,0.0 12.34831,55.899963,0.0 12.360874,55.892177,0.0 12.395784,55.910922,0.0 12.408934,55.905074,0.0 12.387655,55.899329,0.0 12.402291,55.886884,0.0 12.398027,55.877463,0.0 12.3883,55.857931,0.0 12.380723,55.855836,0.0 12.36852,55.865881,0.0 12.364472,55.862664,0.0 12.369159,55.857176,0.0 12.356332,55.839773,0.0 12.335833,55.84358,0.0 12.332488,55.840376,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,2,0,0.222222222222222
"A387","A387",1,1,NA,"A+","A+","A++","A+",NA,NA,NA,NA,2450,5,"3",1,1,"apt",7,2,0,0,0,1,0,2,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.332488,55.840376,0.0 12.313311,55.842479,0.0 12.322213,55.846233,0.0 12.319643,55.852717,0.0 12.306799,55.853963,0.0 12.309425,55.861262,0.0 12.291569,55.858554,0.0 12.281712,55.862489,0.0 12.274816,55.88233,0.0 12.29329,55.882371,0.0 12.30193,55.886329,0.0 12.315601,55.880653,0.0 12.320838,55.885917,0.0 12.324299,55.880507,0.0 12.330896,55.890953,0.0 12.340061,55.888727,0.0 12.338245,55.90007,0.0 12.34831,55.899963,0.0 12.360874,55.892177,0.0 12.395784,55.910922,0.0 12.408934,55.905074,0.0 12.387655,55.899329,0.0 12.402291,55.886884,0.0 12.398027,55.877463,0.0 12.3883,55.857931,0.0 12.380723,55.855836,0.0 12.36852,55.865881,0.0 12.364472,55.862664,0.0 12.369159,55.857176,0.0 12.356332,55.839773,0.0 12.335833,55.84358,0.0 12.332488,55.840376,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,2,3,0.714285714285714,0.75
"A388","A388",0,0,"A",NA,"A","A",NA,NA,"A",NA,"A",9400,5,"4",1,1,"apt",7,6,0,0,0,0,0,0,2,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.332488,55.840376,0.0 12.313311,55.842479,0.0 12.322213,55.846233,0.0 12.319643,55.852717,0.0 12.306799,55.853963,0.0 12.309425,55.861262,0.0 12.291569,55.858554,0.0 12.281712,55.862489,0.0 12.274816,55.88233,0.0 12.29329,55.882371,0.0 12.30193,55.886329,0.0 12.315601,55.880653,0.0 12.320838,55.885917,0.0 12.324299,55.880507,0.0 12.330896,55.890953,0.0 12.340061,55.888727,0.0 12.338245,55.90007,0.0 12.34831,55.899963,0.0 12.360874,55.892177,0.0 12.395784,55.910922,0.0 12.408934,55.905074,0.0 12.387655,55.899329,0.0 12.402291,55.886884,0.0 12.398027,55.877463,0.0 12.3883,55.857931,0.0 12.380723,55.855836,0.0 12.36852,55.865881,0.0 12.364472,55.862664,0.0 12.369159,55.857176,0.0 12.356332,55.839773,0.0 12.335833,55.84358,0.0 12.332488,55.840376,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,10,2,0.888888888888889,0.333333333333333
"A389","A389",0,1,NA,"A+",NA,"A+","A+",NA,NA,NA,NA,9210,4,"5",0,1,"apt",7,4,0,0,0,0,0,0,0,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.332488,55.840376,0.0 12.313311,55.842479,0.0 12.322213,55.846233,0.0 12.319643,55.852717,0.0 12.306799,55.853963,0.0 12.309425,55.861262,0.0 12.291569,55.858554,0.0 12.281712,55.862489,0.0 12.274816,55.88233,0.0 12.29329,55.882371,0.0 12.30193,55.886329,0.0 12.315601,55.880653,0.0 12.320838,55.885917,0.0 12.324299,55.880507,0.0 12.330896,55.890953,0.0 12.340061,55.888727,0.0 12.338245,55.90007,0.0 12.34831,55.899963,0.0 12.360874,55.892177,0.0 12.395784,55.910922,0.0 12.408934,55.905074,0.0 12.387655,55.899329,0.0 12.402291,55.886884,0.0 12.398027,55.877463,0.0 12.3883,55.857931,0.0 12.380723,55.855836,0.0 12.36852,55.865881,0.0 12.364472,55.862664,0.0 12.369159,55.857176,0.0 12.356332,55.839773,0.0 12.335833,55.84358,0.0 12.332488,55.840376,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,6,2,0.5,0.357142857142857
"A390","A390",0,1,NA,NA,NA,NA,"A+",NA,"A+",NA,NA,2000,6,"5",1,1,"apt",7,4,0,0,0,0,0,0,1,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.332488,55.840376,0.0 12.313311,55.842479,0.0 12.322213,55.846233,0.0 12.319643,55.852717,0.0 12.306799,55.853963,0.0 12.309425,55.861262,0.0 12.291569,55.858554,0.0 12.281712,55.862489,0.0 12.274816,55.88233,0.0 12.29329,55.882371,0.0 12.30193,55.886329,0.0 12.315601,55.880653,0.0 12.320838,55.885917,0.0 12.324299,55.880507,0.0 12.330896,55.890953,0.0 12.340061,55.888727,0.0 12.338245,55.90007,0.0 12.34831,55.899963,0.0 12.360874,55.892177,0.0 12.395784,55.910922,0.0 12.408934,55.905074,0.0 12.387655,55.899329,0.0 12.402291,55.886884,0.0 12.398027,55.877463,0.0 12.3883,55.857931,0.0 12.380723,55.855836,0.0 12.36852,55.865881,0.0 12.364472,55.862664,0.0 12.369159,55.857176,0.0 12.356332,55.839773,0.0 12.335833,55.84358,0.0 12.332488,55.840376,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,9,2,0.535714285714286,0
"A391","A391",1,1,NA,NA,NA,"A",NA,NA,"A++",NA,NA,8700,3,"2",0,1,"apt",7,NA,0,0,0,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,1,0,0.833333333333333
"A392","A392",0,1,NA,NA,NA,NA,"A+",NA,"A+",NA,NA,2665,8,"5",1,1,"apt",7,4,0,0,0,0,0,0,0,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,6,2,0.2,0.357142857142857
"A394","A394",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,8,"1",1,1,"apt",7,3,0,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,9,2,1,0.615384615384615
"A395","A395",0,0,NA,NA,NA,"No_label",NA,NA,NA,NA,NA,8000,5,"5",1,1,"apt",7,4,0,0,0,0,0,0,1,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,6,2,0.485714285714286,0.5
"A396","A396",1,1,NA,"A+","A",NA,"A++",NA,NA,NA,NA,4100,2,"2",0,1,"apt",7,4,1,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,10,3,1,0.571428571428571
"A397","A397",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6700,3,"2",0,1,"apt",7,4,0,0,1,0,0,1,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,0,2,1,0.285714285714286
"A398","A398",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2760,2,"1",1,1,"apt",7,4,2,0,0,0,1,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.474326,55.863893,0.0 12.46576,55.857758,0.0 12.478251,55.853614,0.0 12.476504,55.848663,0.0 12.486591,55.850146,0.0 12.466463,55.825482,0.0 12.458127,55.832127,0.0 12.447782,55.830268,0.0 12.447303,55.814419,0.0 12.421464,55.810195,0.0 12.409254,55.811822,0.0 12.402427,55.823515,0.0 12.380957,55.824609,0.0 12.377937,55.832371,0.0 12.356332,55.839773,0.0 12.369159,55.857176,0.0 12.364472,55.862664,0.0 12.36852,55.865881,0.0 12.380723,55.855836,0.0 12.3883,55.857931,0.0 12.398027,55.877463,0.0 12.416639,55.871019,0.0 12.418605,55.863688,0.0 12.426737,55.867416,0.0 12.460456,55.867445,0.0 12.469007,55.87379,0.0 12.466826,55.866767,0.0 12.474326,55.863893,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,3,1,0.866666666666667
"A399","A399",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,3,"2",1,1,"apt",7,2,0,0,0,0,2,0,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.409922,56.011315,0.0 12.420394,56.004523,0.0 12.417919,56.013335,0.0 12.429698,56.010845,0.0 12.434039,56.01575,0.0 12.435689,56.007503,0.0 12.445197,56.008024,0.0 12.445412,56.004115,0.0 12.435818,55.999753,0.0 12.453393,55.988868,0.0 12.463533,55.991646,0.0 12.463571,55.984566,0.0 12.479854,55.982217,0.0 12.479861,55.982106,0.0 12.475192,55.972114,0.0 12.493457,55.967424,0.0 12.480457,55.956999,0.0 12.478214,55.941314,0.0 12.47206,55.933337,0.0 12.437769,55.93456,0.0 12.433689,55.931482,0.0 12.366987,55.940396,0.0 12.346042,55.948979,0.0 12.320542,55.951729,0.0 12.333853,55.957509,0.0 12.339071,55.966051,0.0 12.33394,55.964526,0.0 12.287484,55.996251,0.0 12.282428,56.002656,0.0 12.377582,56.001631,0.0 12.389621,56.0143,0.0 12.409922,56.011315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,2,0.222222222222222,0.4
"A400","A400",0,0,NA,NA,NA,NA,"No_label",NA,NA,NA,NA,1422,4,"2",0,1,"apt",7,5,0,0,0,0,1,2,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.409922,56.011315,0.0 12.420394,56.004523,0.0 12.417919,56.013335,0.0 12.429698,56.010845,0.0 12.434039,56.01575,0.0 12.435689,56.007503,0.0 12.445197,56.008024,0.0 12.445412,56.004115,0.0 12.435818,55.999753,0.0 12.453393,55.988868,0.0 12.463533,55.991646,0.0 12.463571,55.984566,0.0 12.479854,55.982217,0.0 12.479861,55.982106,0.0 12.475192,55.972114,0.0 12.493457,55.967424,0.0 12.480457,55.956999,0.0 12.478214,55.941314,0.0 12.47206,55.933337,0.0 12.437769,55.93456,0.0 12.433689,55.931482,0.0 12.366987,55.940396,0.0 12.346042,55.948979,0.0 12.320542,55.951729,0.0 12.333853,55.957509,0.0 12.339071,55.966051,0.0 12.33394,55.964526,0.0 12.287484,55.996251,0.0 12.282428,56.002656,0.0 12.377582,56.001631,0.0 12.389621,56.0143,0.0 12.409922,56.011315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",0,0,3,0.8,0.5
"A401","A401",0,1,NA,"A+",NA,"A",NA,NA,"A",NA,"A+",2200,7,"2",1,1,"apt",7,5,0,0,0,0,0,2,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.409922,56.011315,0.0 12.420394,56.004523,0.0 12.417919,56.013335,0.0 12.429698,56.010845,0.0 12.434039,56.01575,0.0 12.435689,56.007503,0.0 12.445197,56.008024,0.0 12.445412,56.004115,0.0 12.435818,55.999753,0.0 12.453393,55.988868,0.0 12.463533,55.991646,0.0 12.463571,55.984566,0.0 12.479854,55.982217,0.0 12.479861,55.982106,0.0 12.475192,55.972114,0.0 12.493457,55.967424,0.0 12.480457,55.956999,0.0 12.478214,55.941314,0.0 12.47206,55.933337,0.0 12.437769,55.93456,0.0 12.433689,55.931482,0.0 12.366987,55.940396,0.0 12.346042,55.948979,0.0 12.320542,55.951729,0.0 12.333853,55.957509,0.0 12.339071,55.966051,0.0 12.33394,55.964526,0.0 12.287484,55.996251,0.0 12.282428,56.002656,0.0 12.377582,56.001631,0.0 12.389621,56.0143,0.0 12.409922,56.011315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,10,2,1,0.307692307692308
"A402","A402",0,1,NA,"A","A","A+","A+",NA,NA,NA,NA,1916,7,"2",1,1,"apt",7,5,0,0,0,0,0,2,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.409922,56.011315,0.0 12.420394,56.004523,0.0 12.417919,56.013335,0.0 12.429698,56.010845,0.0 12.434039,56.01575,0.0 12.435689,56.007503,0.0 12.445197,56.008024,0.0 12.445412,56.004115,0.0 12.435818,55.999753,0.0 12.453393,55.988868,0.0 12.463533,55.991646,0.0 12.463571,55.984566,0.0 12.479854,55.982217,0.0 12.479861,55.982106,0.0 12.475192,55.972114,0.0 12.493457,55.967424,0.0 12.480457,55.956999,0.0 12.478214,55.941314,0.0 12.47206,55.933337,0.0 12.437769,55.93456,0.0 12.433689,55.931482,0.0 12.366987,55.940396,0.0 12.346042,55.948979,0.0 12.320542,55.951729,0.0 12.333853,55.957509,0.0 12.339071,55.966051,0.0 12.33394,55.964526,0.0 12.287484,55.996251,0.0 12.282428,56.002656,0.0 12.377582,56.001631,0.0 12.389621,56.0143,0.0 12.409922,56.011315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,5,2,0.230769230769231,0.692307692307692
"A404","A404",1,1,NA,"A++","A++",NA,"A",NA,NA,NA,NA,2300,3,"4",1,1,"apt",7,5,0,0,0,1,1,0,1,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.300035,55.763436,0.0 12.294894,55.77906,0.0 12.308616,55.777104,0.0 12.317263,55.786689,0.0 12.304126,55.790212,0.0 12.304994,55.795015,0.0 12.322924,55.795047,0.0 12.333379,55.799731,0.0 12.372236,55.801946,0.0 12.37614,55.805573,0.0 12.380013,55.802482,0.0 12.388092,55.805173,0.0 12.412136,55.801523,0.0 12.416468,55.795138,0.0 12.415044,55.783592,0.0 12.414474,55.775197,0.0 12.426958,55.774937,0.0 12.417278,55.770342,0.0 12.416192,55.752982,0.0 12.407398,55.752711,0.0 12.395106,55.75986,0.0 12.391881,55.756598,0.0 12.380241,55.761165,0.0 12.365936,55.753988,0.0 12.338176,55.756915,0.0 12.300035,55.763436,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,0,3,1,0.5
"A405","A405",0,0,NA,"B",NA,NA,"No_label",NA,NA,NA,NA,4720,9,"5",1,1,"apt",7,5,0,0,0,0,0,0,2,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.300035,55.763436,0.0 12.294894,55.77906,0.0 12.308616,55.777104,0.0 12.317263,55.786689,0.0 12.304126,55.790212,0.0 12.304994,55.795015,0.0 12.322924,55.795047,0.0 12.333379,55.799731,0.0 12.372236,55.801946,0.0 12.37614,55.805573,0.0 12.380013,55.802482,0.0 12.388092,55.805173,0.0 12.412136,55.801523,0.0 12.416468,55.795138,0.0 12.415044,55.783592,0.0 12.414474,55.775197,0.0 12.426958,55.774937,0.0 12.417278,55.770342,0.0 12.416192,55.752982,0.0 12.407398,55.752711,0.0 12.395106,55.75986,0.0 12.391881,55.756598,0.0 12.380241,55.761165,0.0 12.365936,55.753988,0.0 12.338176,55.756915,0.0 12.300035,55.763436,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,2,2,0.666666666666667,0.428571428571429
"A406","A406",0,0,NA,"A","A",NA,"A",NA,"A",NA,NA,2100,6,"3",1,1,"apt",7,NA,0,0,1,0,0,2,0,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.300035,55.763436,0.0 12.294894,55.77906,0.0 12.308616,55.777104,0.0 12.317263,55.786689,0.0 12.304126,55.790212,0.0 12.304994,55.795015,0.0 12.322924,55.795047,0.0 12.333379,55.799731,0.0 12.372236,55.801946,0.0 12.37614,55.805573,0.0 12.380013,55.802482,0.0 12.388092,55.805173,0.0 12.412136,55.801523,0.0 12.416468,55.795138,0.0 12.415044,55.783592,0.0 12.414474,55.775197,0.0 12.426958,55.774937,0.0 12.417278,55.770342,0.0 12.416192,55.752982,0.0 12.407398,55.752711,0.0 12.395106,55.75986,0.0 12.391881,55.756598,0.0 12.380241,55.761165,0.0 12.365936,55.753988,0.0 12.338176,55.756915,0.0 12.300035,55.763436,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,10,3,0,0.5
"A407","A407",1,1,NA,"A++","A++","A++",NA,NA,"A++",NA,"A++",8930,8,"5",0,1,"apt",7,4,0,0,0,0,0,0,2,0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>12.300035,55.763436,0.0 12.294894,55.77906,0.0 12.308616,55.777104,0.0 12.317263,55.786689,0.0 12.304126,55.790212,0.0 12.304994,55.795015,0.0 12.322924,55.795047,0.0 12.333379,55.799731,0.0 12.372236,55.801946,0.0 12.37614,55.805573,0.0 12.380013,55.802482,0.0 12.388092,55.805173,0.0 12.412136,55.801523,0.0 12.416468,55.795138,0.0 12.415044,55.783592,0.0 12.414474,55.775197,0.0 12.426958,55.774937,0.0 12.417278,55.770342,0.0 12.416192,55.752982,0.0 12.407398,55.752711,0.0 12.395106,55.75986,0.0 12.391881,55.756598,0.0 12.380241,55.761165,0.0 12.365936,55.753988,0.0 12.338176,55.756915,0.0 12.300035,55.763436,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,2,2,0.857142857142857,0.357142857142857
